----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Vac (nm)       |       Vac (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
          374.5380    |          374.53811+  |       10 |            |      |   8.4365241  -   11.7459060 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).6f  | 2[3/2]  | 2   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          374.5690    |          374.56953+  |        4 |            |      |   8.4365241  -   11.7456284 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).6f  | 2[3/2]  | 1   |    |                    |      L4739  |
          379.5950    |          379.59456+  |        3 |            |      |   8.3153161  -   11.5806159 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).5f  | 2[5/2]  | 2   |    |                    |      L4739  |
          379.6300    |          379.63060+  |       40 | 1.6e+05    | C    |   8.3153161  -   11.5803059 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).5f  | 2[5/2]  | 3   |    |              T3269 |      L4739  |
          380.1390    |          380.13904+  |       30 |            |      |   8.3153161  -   11.5759390 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).5f  | 2[3/2]  | 2   |    |                    |      L4739  |
          380.1900    |          380.19071+  |        3 |            |      |   8.3153161  -   11.5754959 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).5f  | 2[3/2]  | 1   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          380.9840    |          380.9844+   |       30 |            |      |   8.4365241  -   11.689912  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).9p  | 2[1/2]  | 0   |    |                    |      L4739  |
          382.3740    |          382.3726+   |       10 |            |      |   8.4365241  -   11.678101  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).9p  | 2[3/2]  | 2   |    |                    |      L4739  |
