-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        120.0810  |        120.0825+ |     9 |      |      |  15.11726  -   25.44218 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(1D).4f | 2F*  | 5/2 |    |        |  L11502  |
        120.1630  |        120.1614+ |     3 |      |      |  16.92333  -   27.24147 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(3P).4f | 2F*  | 7/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        120.2690  |        120.2698+ |     8 |      |      |  15.55688  -   25.86572 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).4f | 2F*  | 5/2 |    |        |  L11502  |
        120.3170  |        120.3173+ |     6 |      |      |  16.49330  -   26.79807 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).6p | 2D*  | 3/2 |    |        |  L11502  |
        120.5070  |        120.5047+ |     1 |      |      |  18.10059  -   28.38933 | 5s2.5p2.(3P).5d | 4F   | 9/2 | 5s2.5p2.(1S).4f | 2F*  | 7/2 |    |        |  L11502  |
        121.0600  |        121.0598+ |     6 |      |      |  13.54582  -   23.78739 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).4f | 4F*  | 3/2 |    |        |  L11502  |
        121.1300  |        121.1309+ |     9 |      |      |  12.35674  -   22.59229 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).4f | 4G*  | 7/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        121.2040  |        121.2036+ |     5 |      |      |  16.92333  -   27.15275 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(1D).4f | 2D*  | 5/2 |    |        |  L11502  |
        121.7257  |        121.7240+ |    55 |      |      |   2.17105  -   12.35674 | 5s2.5p3         | 2D*  | 5/2 | 5s.5p4          | 4P   | 5/2 |    |        |  L11173  |
        122.0560  |        122.0553+ |     5 |      |      |  16.73546  -   26.89350 | 5s2.5p2.(3P).5d | 4F   | 3/2 | 5s2.5p2.(1D).6p | 2D*  | 5/2 |    |        |  L11502  |
        122.2530  |        122.2533+ |     9 |      |      |  13.25679  -   23.39837 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 2D*  | 5/2 |    |        |  L11502  |
        122.5760  |        122.5762+ |     2 |      |      |  15.55688  -   25.67175 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).6p | 4P*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        122.6420  |        122.6421+ |     6 |      |      |  13.54582  -   23.65526 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).6p | 4D*  | 3/2 |    |        |  L11502  |
        123.0940  |        123.0945+ |     9 |      |      |  15.55688  -   25.62916 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(1D).4f | 2G*  | 7/2 |    |        |  L11502  |
        123.1263  |        123.1254+ |    25 |      |      |   3.47607  -   13.54582 | 5s2.5p3         | 2P*  | 1/2 | 5s.5p4          | 4P   | 1/2 |    |        |  L11173  |
        124.0900  |        124.0903+ |     8 |      |      |  15.55688  -   25.54833 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).6p | 2P*  | 3/2 |    |        |  L11502  |
        124.2420  |        124.2426+ |     5 |      |      |  12.35674  -   22.33594 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).4f | 4G*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        124.3560  |        124.3552+ |    11 |      |      |  16.92333  -   26.89350 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(1D).6p | 2D*  | 5/2 |    |        |  L11502  |
        125.4220  |        125.4228+ |     3 |      |      |  15.55688  -   25.44218 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(1D).4f | 2F*  | 5/2 |    |        |  L11502  |
        125.5570  |        125.5570+ |     5 |      |      |  16.92333  -   26.79807 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(1D).6p | 2D*  | 3/2 |    |        |  L11502  |
        125.9570  |        125.9565+ |     6 |      |      |  17.99081  -   27.83423 | 5s2.5p2.(3P).5d | 4D   | 1/2 | 5s2.5p2.(1D).6p | 2P*  | 3/2 |    |        |  L11502  |
        126.2850  |        126.2851+ |     5 |      |      |  13.25679  -   23.07459 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 4D*  | 1/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        126.3760  |        126.3750+ |     3 |      |      |  16.92333  -   26.73415 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(1D).6p | 2F*  | 5/2 |    |        |  L11502  |
        126.6290  |        126.6296+ |     8 |      |      |  15.11726  -   24.90835 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 4P*  | 1/2 |    |        |  L11502  |
        127.1210  |        127.1209+ |     7 |      |      |  15.55688  -   25.31013 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).6p | 4P*  | 3/2 |    |        |  L11502  |
        127.2960  |        127.2956+ |     7 |      |      |  15.11726  -   24.85712 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 2D*  | 5/2 |    |        |  L11502  |
        128.0540  |        128.0533+ |     3 |      |      |  17.55924  -   27.24147 | 5s2.5p2.(3P).5d | 4F   | 7/2 | 5s2.5p2.(3P).4f | 2F*  | 7/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        128.3810  |        128.3814+ |     1 |      |      |  17.58398  -   27.24147 | 5s2.5p2.(1D).5d | 2F   | 5/2 | 5s2.5p2.(3P).4f | 2F*  | 7/2 |    |        |  L11502  |
        129.0720  |        129.0716+ |    10 |      |      |  15.55688  -   25.16273 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).6p | 4D*  | 7/2 |    |        |  L11502  |
        129.0860  |        129.0854+ |     5 |      |      |  15.11726  -   24.72208 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).4f | 2D*  | 3/2 |    |        |  L11502  |
        129.8460  |        129.8462+ |     2 |      |      |  15.11726  -   24.66580 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 4D*  | 5/2 |    |        |  L11502  |
