----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
         131.6873   |         131.68702+ |        2 |      |      |  15.116494  -   24.531561 | 5s2.5p3.(4S*).5d | 3D*  | 1   | 5s2.5p3.(4S*).5f | 5F   | 2   |    |        |  L10579  |
         132.5014   |         132.50008+ |        2 |      |      |  12.182994  -   21.540286 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(4S*).4f | 3F   | 2   |    |        |  L10579  |
         132.7475   |         132.74659+ |        1 |      |      |  15.116494  -   24.456410 | 5s2.5p3.(4S*).5d | 3D*  | 1   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         133.0927   |         133.0919+  |        3 |      |      |  13.868424  -   23.184107 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2D*).4f | 3D   | 2   |    |        |  L10579  |
         133.3145   |         133.3142+  |      11* |      |      |  15.913266  -   25.213415 | 5s2.5p3.(2D*).5d | 3G*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 2   |    |        |  L10579  |
         133.3145   |         133.3176+  |      11* |      |      |  13.837307  -   23.137219 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(2D*).4f | 3F   | 3   |    |        |  L10579  |
         133.7652   |         133.7652+  |        4 |      |      |  13.868424  -   23.137219 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2D*).4f | 3F   | 3   |    |        |  L10579  |
         133.8153   |         133.8139+  |        5 |      |      |  16.139486  -   25.404908 | 5s2.5p3.(2D*).5d | 3F*  | 4   | 5s2.5p3.(2P*).4f | 1G   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         134.1518   |         134.1516+  |        9 |      |      |  13.942011  -   23.184107 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 3D   | 2   |    |        |  L10579  |
         134.2534   |         134.2528+  |       11 |      |      |  12.840820  -   22.075948 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2P*).6p | 3P   | 0   |    |        |  L10579  |
         134.2928   |         134.2922+  |        6 |      |      |  13.868424  -   23.100845 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2P*).6p | 3P   | 2   |    |        |  L10579  |
         134.4320   |         134.4308+  |        5 |      |      |  12.840820  -   22.063723 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2P*).6p | 3D   | 2   |    |        |  L10579  |
         134.7545   |         134.7543+  |        6 |      |      |  16.139486  -   25.340246 | 5s2.5p3.(2D*).5d | 3F*  | 4   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         135.0470   |         135.0471+  |        0 |      |      |  16.454164  -   25.634973 | 5s2.5p3.(2D*).5d | 1G*  | 4   | 5s2.5p3.(2P*).4f | 3F   | 4   |    |        |   L7270  |
         135.5012   |         135.5007+  |       10 |      |      |  13.431674  -   22.581755 | 5s.5p5           | 3P*  | 0   | 5s2.5p3.(2P*).6p | 3S   | 1   |    |        |  L10579  |
         135.6358   |         135.6349+  |       11 |      |      |  12.182994  -   21.324020 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2D*).6p | 1D   | 2   |    |        |  L10579  |
