-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki    | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |   Line  |
     Wavelength     |     Wavelength     |  Int. |  (s^-1)   |      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |   Ref.  |
      Vac (nm)      |      Vac (nm)      |       |           |      |                           | Conf.          | Term  | J    | Conf.          | Term  | J    |    |        |         |
         231.421    |         231.4167+  |  1bl* |           |      |  14.097673  -   19.453643 | 5p4.(3P<2>).6p | 2[3]* | 7/2  | 5p4.(3P<2>).6g | 2[3]  | 7/2  |    |        |  L6991  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         231.627    |         231.6231+  |     2 |           |      |  11.906634  -   17.257832 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).7p | 2[1]* | 3/2  |    |        |  L6991  |
         231.680    |         231.6833+  |    10 |           |      |  11.906634  -   17.256441 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L6925  |
         231.970    |         231.9726+  |     7 |           |      |  11.906634  -   17.249770 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).7p | 2[2]* | 5/2  |    |        |  L6925  |
         232.154    |         232.1532+  |     0 |           |      |  13.057189  -   18.396168 | 5p4.(3P<2>).5d | 2[1]  | 3/2  | 5p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L6991  |
         233.542    |         233.5449+  |    2h |           |      |  13.201244  -   18.508411 | 5p4.(3P<2>).5d | 2[3]  | 5/2  | 5p4.(3P<1>).4f | 2[4]* | 7/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         234.218    |         234.2215+  |    3h |           |      |  14.227321  -   19.519158 | 5p4.(3P<1>).5d | 2[3]  | 5/2  | 5p4.(1D<2>).4f | 2[4]* | 7/2  |    |        |  L6925  |
         234.447    |         234.4482+  |    12 |           |      |  12.008884  -   17.295605 | 5p4.(3P<2>).5d | 2[1]  | 1/2  | 5p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L6925  |
         235.010    |         235.0088+  |    0a |           |      |  14.000896  -   19.275006 | 5p4.(1D<2>).6s | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[1]* | 3/2  |    |        |  L5583  |
         235.070    |         235.0701+  |     0 |           |      |  14.246423  -   19.519158 | 5p4.(1D<2>).5d | 2[4]  | 9/2  | 5p4.(1D<2>).4f | 2[4]* | 7/2  |    |        |  L5583  |
         235.118    |         235.1189+  |    4h |           |      |  14.247518  -   19.519158 | 5p4.(1D<2>).5d | 2[4]  | 7/2  | 5p4.(1D<2>).4f | 2[4]* | 7/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         235.156    |         235.1589+  |    4h |           |      |  14.246423  -   19.517168 | 5p4.(1D<2>).5d | 2[4]  | 9/2  | 5p4.(1D<2>).4f | 2[4]* | 9/2  |    |        |  L6925  |
         235.206    |         235.2077+  |     1 |           |      |  14.247518  -   19.517168 | 5p4.(1D<2>).5d | 2[4]  | 7/2  | 5p4.(1D<2>).4f | 2[4]* | 9/2  |    |        |  L5583  |
         235.352    |         235.3518+  |    1h |           |      |  13.201244  -   18.467670 | 5p4.(3P<2>).5d | 2[3]  | 5/2  | 5p4.(3P<1>).4f | 2[2]* | 5/2  |    |        |  L6925  |
         235.389    |         235.3886+  |    1h |           |      |  14.227321  -   19.492923 | 5p4.(3P<1>).5d | 2[3]  | 5/2  | 5p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L6925  |
         235.625    |         235.6238+  |    1h |           |      |  13.135822  -   18.396168 | 5p4.(3P<2>).5d | 2[0]  | 1/2  | 5p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         235.672    |         235.6743+  |    4h |           |      |  13.313639  -   18.572858 | 5p4.(3P<0>).5d | 2[2]  | 3/2  | 5p4.(3P<1>).4f | 2[3]* | 5/2  |    |        |  L6925  |
