----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
       264.028  |       264.0304 |    12 | 2.2e+08    | D    |  31.239970  -   35.934402 | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       268.258  |       268.2575 |    10 | 1.4e+08    | D    |  31.239970  -   35.860433 | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       | T1619CA,LS |  L11418  |
       275.791  |       275.797  |   10q | 2.8e+08    | D    |  33.19569   -   37.68984  | 3s2.3p2.(1D).4s | 2D   | 5/2 | 3s2.3p2.(1D).4p | 2F*  | 7/2 |       | T1619CA,LS |  L11418  |
       277.625  |       277.6241 |    11 | 1.1e+08    | D    |  31.022731  -   35.487315 | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       | T1619CA,LS |  L11418  |
       278.284  |       278.283  |     7 | 1.8e+07    | E    |  33.19569   -   37.64971  | 3s2.3p2.(1D).4s | 2D   | 5/2 | 3s2.3p2.(1D).4p | 2F*  | 5/2 |       | T1619CA,LS |  L11418  |
       278.443  |       278.443  |    10 | 2.5e+08    | D    |  33.19826   -   37.64971  | 3s2.3p2.(1D).4s | 2D   | 3/2 | 3s2.3p2.(1D).4p | 2F*  | 5/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       278.891  |       278.8917 |    10 | 1.9e+08    | D    |  31.107903  -   35.552196 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       | T1619CA,LS |  L11418  |
       279.708  |       279.7083 |     9 | 2.2e+08    | D    |  31.022731  -   35.454050 | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       | T1619CA,LS |  L11418  |
       280.947  |       280.947  |    10 | 2.6e+08    | D    |  31.239970  -   35.65176  | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 7/2 |       | T1619CA,LS |  L11418  |
       283.025  |       283.0237 |    12 | 1.4e+08    | D    |  31.107903  -   35.487315 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       | T1619CA,LS |  L11418  |
       285.191  |       285.1900 |     8 | 4.1e+07    | E    |  31.107903  -   35.454050 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       285.367  |       285.366  | 7.50* | 2.55e+00   | C    |   0.00000   -    4.343464 | 3s2.3p3         | 4S*  | 3/2 | 3s2.3p3         | 2P*  | 3/2 | M1    |       T761 |  L11613  |
       285.367  |       285.366  | 7.50* | 1.6e-05    | D    |   0.00000   -    4.343464 | 3s2.3p3         | 4S*  | 3/2 | 3s2.3p3         | 2P*  | 3/2 | E2    |       T761 |  L11613  |
       286.821  |       286.822  | 1.95* | 1.2e-04    | D    |   0.00000   -    4.321420 | 3s2.3p3         | 4S*  | 3/2 | 3s2.3p3         | 2P*  | 1/2 | E2    |       T761 |  L11613  |
