------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |         Ei           Ek         |            Lower level            |            Upper level            |Type|    TP  |    Line  |
      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |        (eV)         (eV)        |-----------------------------------|-----------------------------------|    |   Ref. |    Ref.  |
       Vac (nm)       |       Vac (nm)       |           |             |      |                                 | Conf.              | Term  | J    | Conf.              | Term  | J    |    |        |          |
          168.6076    |          168.6091512 |       0.5 |             |      |  18.06063988   -   25.41398919  | 3s2.3p4.(3P).3d    | 2P    | 3/2  | 3s2.3p4.(3P<2>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          168.9470    |          168.9467315 |       0.5 |             |      |  18.615942491  -   25.95459873  | 3s2.3p4.(3P).3d    | 2F    | 5/2  | 3s2.3p4.(1D<2>).4f | 2[4]* | 7/2  |    |        |  L16202  |
          170.1358    |          170.135987  |         1 |             |      |  18.656521057  -   25.94387988  | 3s2.3p4.(3P).3d    | 2D    | 3/2  | 3s2.3p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          170.2186    |          170.2186589 |         1 |             |      |  18.33428084   -   25.61810033  | 3s2.3p4.(3P).3d    | 4P    | 5/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 7/2  |    |        |  L16202  |
          170.5977    |          170.5982061 |         1 |             |      |  18.28805528   -   25.55566971  | 3s2.3p4.(3P).3d    | 4P    | 3/2  | 3s2.3p4.(3P<1>).5f | 2[2]* | 5/2  |    |        |  L16202  |
          171.0909    |          171.090806  |      0.5* |             |      |  18.656521057  -   25.90321077  | 3s2.3p4.(3P).3d    | 2D    | 3/2  | 3s2.3p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L16202  |
          171.0909    |          171.097305  |      0.5* |             |      |  18.656521057  -   25.90293551  | 3s2.3p4.(3P).3d    | 2D    | 3/2  | 3s2.3p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
          171.3215    |          171.3217901 |         2 |             |      |  18.33428084   -   25.57120023  | 3s2.3p4.(3P).3d    | 4P    | 5/2  | 3s2.3p4.(3P<1>).5f | 2[3]* | 7/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          171.8680    |          171.8688332 |         1 |             |      |  16.40650186   -   23.620386781 | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P).5p    | 2D*   | 5/2  |    |        |  L16202  |
          171.9346    |          171.935579  |         2 |             |      |  18.732439371  -   25.94352386  | 3s2.3p4.(3P).3d    | 2D    | 5/2  | 3s2.3p4.(1D<2>).4f | 2[3]* | 7/2  |    |        |  L16202  |
          172.5138    |          172.514787  |         1 |             |      |  18.25395203   -   25.44082574  | 3s2.3p4.(3P).3d    | 4P    | 1/2  | 3s2.3p4.(3P<2>).5f | 2[1]* | 3/2  |    |        |  L16202  |
          172.5549    |          172.555526  |       0.5 |             |      |  18.25395203   -   25.43912897  | 3s2.3p4.(3P).3d    | 4P    | 1/2  | 3s2.3p4.(3P<2>).5f | 2[1]* | 1/2  |    |        |  L16202  |
          172.9075    |          172.908814  |         1 |             |      |  18.732439371  -   25.90293551  | 3s2.3p4.(3P).3d    | 2D    | 5/2  | 3s2.3p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          172.9262    |          172.925836  |         1 |             |      |  18.25395203   -   25.42374234  | 3s2.3p4.(3P).3d    | 4P    | 1/2  | 3s2.3p4.(3P<2>).5f | 2[2]* | 3/2  |    |        |  L16202  |
          173.3362    |          173.337309  |         1 |             |      |  18.28805528   -   25.44082574  | 3s2.3p4.(3P).3d    | 4P    | 3/2  | 3s2.3p4.(3P<2>).5f | 2[1]* | 3/2  |    |        |  L16202  |
          173.5378    |          173.5355111 |       0.5 |             |      |  16.42557623   -   23.570177223 | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P).5p    | 4D*   | 3/2  |    |        |  L16202  |
          173.6830    |          173.6834198 |         1 |             |      |  18.28805528   -   25.42657193  | 3s2.3p4.(3P).3d    | 4P    | 3/2  | 3s2.3p4.(3P<2>).5f | 2[2]* | 5/2  |    |        |  L16202  |
          174.9003    |          174.89973   |      0.5p |             |      |  19.801086565  -   26.889960    | 3s2.3p4.(3P).4p    | 2P*   | 1/2  | 3s2.3p4.(1D).5d    | 2S    | 1/2  |    |        |   L5807  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          175.0694    |          175.0693347 |       0.5 |             |      |  18.33428084   -   25.41628630  | 3s2.3p4.(3P).3d    | 4P    | 5/2  | 3s2.3p4.(3P<2>).5f | 2[3]* | 7/2  |    |        |  L16202  |
          175.1679    |          175.1691851 |         2 |             |      |  16.40650186   -   23.484470418 | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P).5p    | 4D*   | 7/2  |    |        |  L16202  |
          175.5810    |          175.5816863 |       1bl |             |      |  18.495869040  -   25.55720904  | 3s2.3p4.(3P).3d    | 2F    | 7/2  | 3s2.3p4.(3P<1>).5f | 2[4]* | 9/2  |    |        |  L16202  |
          176.3669    |          176.3667320 |       0.5 |             |      |  16.45737782   -   23.48728630  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P).5p    | 4P*   | 1/2  |    |        |  L16202  |
